id,title,description,Price,image_link,additional_image_link,additional_image_link,free_shipping_label,alt_text,Shipping_Weight,availability,condition,google_product_category,Product URL
HM101,Mulch Color: Mini,Covers 150-350 square feet.Â  Requires the use of aÂ 1 or 2 gallon garden sprayer. Free shipping. ,14.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/1/images/57/hmc-mini__14403.1379011257.1280.1280.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/homepage2-hmc.jpg,0,"This awesome, spray-on color will save your mulch from fading over time into a less desirable look. We developed a long-lasting, colorant that keeps your mulch looking fresh as ever, and is totally safe for children, pets, plants, and the environment.",0.6 LB,in stock,new,Home & Garden > Lawn & Garden > Gardening > Mulch,https://www.hippiemulch.com/mulch-color-mini/
HM102,Mulch Color: Hipster,"Covers 400-1,000 square feet.Â  Requires the use of a 2 gallon garden sprayer. Free shipping. ",24.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/2/images/112/mulch_color_hipstwe__32675.1559751943.1280.1280.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/homepage2-hmc.jpg,0,"This awesome, spray-on color will save your mulch from fading over time into a less desirable look. We developed a long-lasting, colorant that keeps your mulch looking fresh as ever, and is totally safe for children, pets, plants, and the environment.",1.81 LB,in stock,new,Home & Garden > Lawn & Garden > Gardening > Mulch,https://www.hippiemulch.com/mulch-color-hipster/
HM103,Mulch Color: Fab Four-Pack,"Covers 1,600 - 4,000 square feet. Requires the use of a 2 gallon garden sprayer. Free shipping. ",69.95,https://cdn2.bigcommerce.com/server5200/h4i3vku/products/21/images/110/mulch_color_pack_fix__46759.1559794426.1280.1280.png?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/homepage2-hmc.jpg,0,"This awesome, spray-on color will save your mulch from fading over time into a less desirable look. We developed a long-lasting, colorant that keeps your mulch looking fresh as ever, and is totally safe for children, pets, plants, and the environment.",7.24 LB,in stock,new,Home & Garden > Lawn & Garden > Gardening > Mulch,https://www.hippiemulch.com/mulch-color-fab-four-pack/
HM104,Mulch Color: The King,"Covers 5,000- 10,000 square feet. Free shipping.  Great for larger applications, commercial properties, or landscape contractors.",79.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/4/images/60/hmc-gallon__40341.1379011531.1280.1280.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/homepage2-hmc.jpg,0,"This awesome, spray-on color will save your mulch from fading over time into a less desirable look. We developed a long-lasting, colorant that keeps your mulch looking fresh as ever, and is totally safe for children, pets, plants, and the environment.",18.5 LB,in stock,new,Home & Garden > Lawn & Garden > Gardening > Mulch,https://www.hippiemulch.com/mulch-color-the-king/
HM105,2 Gallon Sprayer,"The Hippie Mulch Sprayer is a 2-gallon garden sprayer that can be used with any Hippie Mulch product. It features an adjustableÂ precision tip for accurate spraying and can be used year after year. Use this, or any typical garden sprayer with Hippie MulchÂ products to fab-up your yard. Free shipping. ",29.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/5/images/91/ace_sprayer_79975.1376336742.1280.1280__38224.1456246058.320.365.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,,0,,1 Lb,in stock,new,Home & Garden > Lawn & Garden,https://www.hippiemulch.com/2-gallon-sprayer/
HM106,Mulch Glue: The King,Covers 50-150 square feet. Requires the use of a 2 gallon garden sprayer. Free shipping. ,32.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/7/images/61/hmg-gallon__76646.1379011607.1280.1280.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/7/images/55/HMG_Prevents_This__85856.1378479183.1280.1280.jpg?c=2,0,"This awesome, spray-on glue will save you from sweeping up and replacing loose, “run-away” mulch. We developed a long-lasting, protective coating that extents the life (and color) of mulch, and is totally safe for children, pets, plants, and the environment. It even allows water and nutrients to flow to flowers, plants, and trees, so your whole lawn can continue looking righteous!",8.9 LB,in stock,new,Home & Garden > Lawn & Garden > Gardening > Mulch,https://www.hippiemulch.com/mulch-glue-the-king/
HM107,Mulch Glue: Squeeze,Covers 10 - 60 sqft. Requires no additional sprayer. Free shipping. ,24.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/9/images/62/hmg_32oz__29709.1379013656.1280.1280.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/7/images/55/HMG_Prevents_This__85856.1378479183.1280.1280.jpg?c=2,0,"This awesome, spray-on glue will save you from sweeping up and replacing loose, “run-away” mulch. We developed a long-lasting, protective coating that extents the life (and color) of mulch, and is totally safe for children, pets, plants, and the environment. It even allows water and nutrients to flow to flowers, plants, and trees, so your whole lawn can continue looking righteous!",2.23 LB,in stock,new,Home & Garden > Lawn & Garden > Gardening > Mulch,https://www.hippiemulch.com/mulch-glue-squeeze/
HM109,Grass Color: Mini,Covers up to 85 sqft. Requires the use of a 32 oz. or 2 gallon spray bottle. Free shipping. ,14.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/11/images/87/packaging-hmgc-mini__02765.1379951729.1280.1280.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://www.hippiemulch.com/content/images/9.jpg,0,"This awesome, spray-on color will save you from over- watering and seeding your lawn to get a healthy, lush look. We tested and tested until we found the perfect grassy- green color, and developed a long-lasting formula that's even safe for children, pets, plants, and the environment. It's perfect for staging your home to sell, before you entertain, or just because you hate brown spots!",0.29 LB,in stock,new,Home & Garden > Lawn & Garden,https://www.hippiemulch.com/grass-color-mini/
HM110,Grass Color: Hipster,"12 Oz, Covers up to 250 sqft. Requires the use of a 2 gallon garden sprayer. Free shipping. ",24.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/12/images/113/grass_color__13915.1559777855.1280.1280.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://www.hippiemulch.com/content/images/9.jpg,0,"This awesome, spray-on color will save you from over- watering and seeding your lawn to get a healthy, lush look. We tested and tested until we found the perfect grassy- green color, and developed a long-lasting formula that's even safe for children, pets, plants, and the environment. It's perfect for staging your home to sell, before you entertain, or just because you hate brown spots!",0.86 LB,in stock,new,Home & Garden > Lawn & Garden,https://www.hippiemulch.com/grass-color-hipster/
HM111,Grass Color: Fab Four-Pack,"Covers up to 1,000 sqft. Requires the use of a 2 gallon garden sprayer. Free shipping. ",69.95,https://cdn2.bigcommerce.com/server5200/h4i3vku/products/22/images/109/grass_color_pack_fix__24717.1559803938.1280.1280.png?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://www.hippiemulch.com/content/images/9.jpg,0,"This awesome, spray-on color will save you from over- watering and seeding your lawn to get a healthy, lush look. We tested and tested until we found the perfect grassy- green color, and developed a long-lasting formula that's even safe for children, pets, plants, and the environment. It's perfect for staging your home to sell, before you entertain, or just because you hate brown spots!",3.45 LB,in stock,new,Home & Garden > Lawn & Garden,https://www.hippiemulch.com/grass-color-fab-four-pack/
HM112,Grass Color: The King,"Covers up to 2,500 sqft. Requires the use of a 2 gallon garden sprayer. Free shipping. ",79.95,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/14/images/90/packaging-hmgc-gallon__67461.1379952022.1280.1280.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://www.hippiemulch.com/content/images/9.jpg,0,"This awesome, spray-on color will save you from over- watering and seeding your lawn to get a healthy, lush look. We tested and tested until we found the perfect grassy- green color, and developed a long-lasting formula that's even safe for children, pets, plants, and the environment. It's perfect for staging your home to sell, before you entertain, or just because you hate brown spots!",9.2 LB,in stock,new,Home & Garden > Lawn & Garden,https://www.hippiemulch.com/grass-color-the-king/
HM113,32 oz. Spray Bottle,"This 32 oz. hand sprayer can be used with Hippie Mulch Glue in any size, and is ideal forÂ Hippie Mulch Grass Color's Mini size. Just add the entire container of Grass Color and fill it up with water. No measuring for ultra-easy application! Free shipping. ",7.99,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/15/images/86/32_oz_spray_bottle__34494.1379690686.320.365.jpg?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,,0,,0.2 LB,in stock,new,Home & Garden > Lawn & Garden,https://www.hippiemulch.com/32-oz-spray-bottle/
HM116,1 Gallon Jug of Mulch Glue Concentrate,A gallon jug of mulch glue concentrate Free shipping. ,59.95,https://cdn2.bigcommerce.com/server5200/h4i3vku/products/20/images/106/1_gallon_jug_mulch_glue__50306.1559677168.320.365.png?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://cdn1.bigcommerce.com/server5200/h4i3vku/products/7/images/55/HMG_Prevents_This__85856.1378479183.1280.1280.jpg?c=2,0,"This awesome, spray-on glue will save you from sweeping up and replacing loose, “run-away” mulch. We developed a long-lasting, protective coating that extents the life (and color) of mulch, and is totally safe for children, pets, plants, and the environment. It even allows water and nutrients to flow to flowers, plants, and trees, so your whole lawn can continue looking righteous!",9.89 LB,in stock,new,Home & Garden > Lawn & Garden > Gardening > Mulch,https://www.hippiemulch.com/1-gallon-jug-of-mulch-glue-concentrate/
HM117,9 Pack Hipster Mulch Color,"A 9 pack of the hipster mulch color, covers 3,600-9,000 Sqft.  Free shipping. ",185.99,https://cdn2.bigcommerce.com/server5200/h4i3vku/products/21/images/110/mulch_color_pack_fix__46759.1559794426.1280.1280.png?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://www.hippiemulch.com/content/images/9.jpg,0,"This awesome, spray-on color will save your mulch from fading over time into a less desirable look. We developed a long-lasting, colorant that keeps your mulch looking fresh as ever, and is totally safe for children, pets, plants, and the environment.",25 LB,in stock,new,Home & Garden > Lawn & Garden > Gardening > Mulch,https://www.hippiemulch.com/9-pack-hipster-mulch-color/
HM118,9 Pack Hipster Grass Color,"A 9 Pack of the hipster grass color, covers up to 2250 Sqft. Free shipping. ",185.99,https://cdn2.bigcommerce.com/server5200/h4i3vku/products/22/images/109/grass_color_pack_fix__24717.1559803938.1280.1280.png?c=2,https://cdn1.bigcommerce.com/server5200/h4i3vku/product_images/uploaded_images/bummer-free-guarantee.jpg,https://www.hippiemulch.com/content/images/9.jpg,0,"This awesome, spray-on color will save you from over- watering and seeding your lawn to get a healthy, lush look. We tested and tested until we found the perfect grassy- green color, and developed a long-lasting formula that's even safe for children, pets, plants, and the environment. It's perfect for staging your home to sell, before you entertain, or just because you hate brown spots!
",26 LB,in stock,new,Home & Garden > Lawn & Garden,https://www.hippiemulch.com/9-pack-hipster-grass-color/
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
